X,Y,BAT,NUM,NOM,SiteWeb,ORDRE,Cap.2024,Gr2024,EHDAA,Accueil,Dispo2024,Unités m.,icon_url
-73.4003965660409,45.5002622372692,"003","003",DES MILLE-FLEURS,http://desmillefleurs.ecoles.csmv.qc.ca,Maternelle et primaire,,,,,,,./0.png
-73.419816543868,45.5015593386973,"008","008",CHARLES-LE MOYNE,http://charles-lemoyne.ecoles.csmv.qc.ca/,Maternelle et primaire,,,,,,,./0.png
-73.4260114760328,45.4925917147438,"013","013",DE MARICOURT,http://demaricourt.ecoles.csmv.qc.ca/,Maternelle et primaire,,,,,,,./0.png
-73.4054121662591,45.4740105766976,"032","032",DE LA MOSAIQUE,http://educ.csmv.qc.ca/delaMosaique,Maternelle et primaire,,,,,,,./0.png
-73.4252247567566,45.4815548682211,"035","035",LAURENT-BENOÎT,http://laurent-benoit.ecoles.csmv.qc.ca,Maternelle et primaire,,,,,,,./0.png
-73.4375830762496,45.481036901651,"017","017",D'IBERVILLE,http://diberville.ecoles.csmv.qc.ca/,Maternelle et primaire,,,,,,,./0.png
-73.4685870210468,45.530268242166,"001","001",ADRIEN-GAMACHE,http://educ.csmv.qc.ca/Adrien_Gamache,Maternelle et primaire,,,,,,,./0.png
-73.4970641848964,45.5325902534742,"002","002",ARMAND-RACICOT,http://armand-racicot.ecoles.csmv.qc.ca/,Maternelle et primaire,,,,,,,./0.png
-73.4766286267619,45.5242611890942,"005","005",BOURGEOYS-CHAMPAGNAT,http://educ.csmv.qc.ca/Bourgeoys_Champagnat,Maternelle et primaire,,,,,,,./0.png
-73.4833191717648,45.5353927666871,"006","006",CARILLON,http://carillon.ecoles.csmv.qc.ca/,Maternelle et primaire,,,,,,,./0.png
-73.4607140560555,45.4445347045635,"007","007",CHARLES-BRUNEAU,http://charles-bruneau.ecoles.csmv.qc.ca/,Maternelle et primaire,"29","42","2","6","-13","5",./0.png
-73.4616405906226,45.5125138024893,"009","009",CHRIST-ROI,www.csmv.qc.ca,Maternelle et primaire,,,,,,,./0.png
-73.5108017648016,45.5232725741121,"010","010",DU CURÉ-LEQUIN,http://cure-lequin.ecoles.csmv.qc.ca/,Maternelle et primaire,,,,,,,./0.png
-73.5018477311255,45.5413293318176,"014","014",DE NORMANDIE,http://denormandie.ecoles.csmv.qc.ca,Maternelle et primaire,,,,,,,./0.png
